년도,월,일,사용분야,수입지출여부,금액,총금액
2022,3,29,쇼핑,수입,9163,170421
2020,12,30,MT,지출,2800,167621
2023,5,17,쇼핑,지출,3287,164334
2023,6,27,MT,수입,6440,170774
2023,1,22,체육대회,수입,3865,174639
2020,5,25,MT,수입,2450,177089
2020,9,12,쇼핑,수입,7024,184113
2023,5,27,여행,지출,7923,176190
2020,2,7,여행,지출,2541,173649
2022,12,3,여행,지출,3508,170141
2020,10,31,여행,지출,4412,165729
2020,5,14,여행,수입,4751,170480
2021,8,2,쇼핑,수입,4374,174854
2022,10,30,체육대회,수입,2566,177420
2020,3,11,체육대회,지출,9445,167975
2022,7,5,여행,지출,6656,161319
2020,4,18,체육대회,지출,4310,157009
2020,1,17,쇼핑,수입,7156,164165
2020,1,22,식사,지출,2292,161873
2020,12,8,쇼핑,지출,7837,154036
2021,6,17,체육대회,지출,3429,150607
2022,11,23,체육대회,수입,2135,152742
2021,12,30,여행,지출,3156,149586
2023,3,28,여행,지출,6208,143378
2020,2,11,여행,수입,3594,146972
2021,5,30,MT,수입,4135,151107
2022,2,22,MT,수입,5516,156623
2021,6,11,여행,수입,9089,165712
2020,6,25,여행,지출,3014,162698
2020,2,6,쇼핑,지출,7404,155294
2020,10,7,식사,수입,7038,162332
2022,4,21,MT,수입,5495,167827
2022,5,22,쇼핑,수입,8427,176254
2022,8,12,쇼핑,수입,5351,181605
2023,12,29,식사,수입,4183,185788
2023,9,20,쇼핑,지출,7492,178296
2023,7,14,쇼핑,지출,5673,172623
2020,10,24,체육대회,수입,4293,176916
2021,8,19,여행,지출,5872,171044
2021,8,18,쇼핑,수입,8440,179484
2020,3,12,식사,수입,3598,183082
2023,1,16,식사,수입,3126,186208
2023,7,8,쇼핑,수입,9020,195228
2022,9,25,체육대회,지출,6344,188884
2022,6,26,식사,지출,2741,186143
2020,3,2,여행,수입,6873,193016
2022,3,21,쇼핑,지출,6279,186737
2022,10,6,MT,수입,1601,188338
2020,6,18,여행,지출,4210,184128
2022,1,6,MT,수입,9523,193651
2022,9,20,쇼핑,지출,7591,186060
2022,9,20,여행,지출,6249,179811
2022,12,20,쇼핑,수입,4675,184486
2021,3,12,쇼핑,수입,3727,188213
2021,6,9,식사,수입,1781,189994
2022,5,28,체육대회,지출,2754,187240
2023,9,4,쇼핑,지출,2143,185097
2022,2,1,여행,지출,7276,177821
2023,9,24,MT,지출,3441,174380
2023,5,12,식사,수입,4785,179165
2020,2,8,체육대회,지출,1120,178045
2020,8,4,MT,수입,5345,183390
2023,2,26,여행,지출,4997,178393
2023,12,19,쇼핑,수입,5582,183975
2022,1,9,여행,지출,2612,181363
2022,1,3,체육대회,수입,2673,184036
2020,10,17,식사,수입,4666,188702
2022,7,28,쇼핑,지출,8710,179992
2023,12,10,MT,수입,7934,187926
2022,11,28,쇼핑,수입,8942,196868
2021,4,9,여행,지출,8776,188092
2022,9,19,여행,수입,7418,195510
2020,10,25,쇼핑,수입,7140,202650
2021,5,30,식사,수입,3756,206406
2023,3,6,식사,지출,5338,201068
2022,6,2,쇼핑,수입,2980,204048
2021,1,4,MT,지출,9719,194329
2022,3,21,식사,지출,2547,191782
2020,6,1,쇼핑,지출,3482,188300
2021,12,31,여행,수입,2354,190654
2023,2,24,식사,지출,3006,187648
2023,6,4,체육대회,지출,8594,179054
2022,12,6,여행,수입,4957,184011
2023,6,2,식사,지출,1184,182827
2023,4,11,체육대회,수입,4881,187708
2023,8,3,체육대회,지출,2138,185570
2021,2,18,체육대회,지출,4598,180972
2021,5,1,여행,수입,5126,186098
2023,3,26,여행,수입,7527,193625
2023,7,18,체육대회,수입,6038,199663
2022,11,23,MT,수입,4272,203935
2020,9,19,체육대회,지출,5793,198142
2022,11,7,체육대회,수입,2314,200456
2023,9,23,MT,지출,5240,195216
2020,10,10,체육대회,수입,5114,200330
2023,11,21,여행,수입,1346,201676
2022,5,5,식사,수입,9895,211571
2021,8,3,MT,수입,5475,217046
2023,3,11,식사,지출,6003,211043
2021,7,8,쇼핑,지출,9646,201397
2022,9,21,식사,수입,4068,205465
2020,2,14,체육대회,수입,5386,210851
2020,2,2,여행,지출,9938,200913
2022,4,28,쇼핑,지출,4985,195928
2022,9,20,MT,지출,3339,192589
2022,3,7,MT,수입,2758,195347
2022,5,9,MT,지출,5115,190232
2020,5,23,MT,지출,5471,184761
2022,2,15,체육대회,수입,7208,191969
2020,2,28,여행,수입,3068,195037
2021,5,18,쇼핑,지출,4251,190786
2021,1,20,쇼핑,지출,7639,183147
2020,1,21,체육대회,지출,2840,180307
2021,10,26,쇼핑,지출,9279,171028
2022,4,24,여행,지출,6068,164960
2021,12,15,쇼핑,지출,7229,157731
2023,1,21,체육대회,지출,8209,149522
2022,8,24,쇼핑,수입,4986,154508
2021,7,25,여행,수입,7533,162041
2021,9,8,식사,수입,1538,163579
2022,7,18,MT,지출,1872,161707
2022,12,12,식사,수입,5572,167279
2022,12,1,MT,수입,4880,172159
2022,10,31,식사,수입,3486,175645
2020,5,23,쇼핑,수입,3275,178920
2022,2,23,MT,수입,1506,180426
2023,6,25,MT,수입,6971,187397
2020,8,15,쇼핑,지출,9693,177704
2023,11,17,쇼핑,수입,2067,179771
2020,9,12,쇼핑,수입,3492,183263
2023,9,17,쇼핑,수입,4767,188030
2022,9,18,체육대회,지출,2112,185918
2021,12,1,MT,지출,7635,178283
2022,7,1,여행,지출,8294,169989
2022,1,18,여행,수입,7792,177781
2022,5,6,여행,지출,3293,174488
2023,8,5,식사,수입,6774,181262
2020,8,25,체육대회,수입,2907,184169
2023,1,5,체육대회,수입,7576,191745
2022,2,27,식사,수입,9640,201385
2023,10,31,식사,수입,4034,205419
2023,12,1,체육대회,수입,2038,207457
2023,11,26,쇼핑,지출,1313,206144
2021,6,9,쇼핑,지출,5330,200814
2022,11,27,쇼핑,수입,9910,210724
2023,4,16,여행,수입,9069,219793
2023,5,7,MT,지출,3829,215964
2023,11,27,쇼핑,지출,4997,210967
2021,6,26,쇼핑,수입,7357,218324
2022,3,12,여행,수입,4150,222474
2020,6,12,체육대회,지출,6670,215804
2021,11,3,체육대회,수입,1625,217429
2022,10,21,MT,수입,1594,219023
2021,12,1,MT,수입,2944,221967
2023,12,27,체육대회,수입,8091,230058
2021,5,16,체육대회,수입,2540,232598
2021,8,12,MT,수입,7105,239703
2021,4,30,MT,지출,9990,229713
2020,3,6,여행,지출,1525,228188
2023,5,2,여행,지출,6758,221430
2022,3,17,식사,수입,2601,224031
2020,8,2,식사,수입,2600,226631
2023,6,11,쇼핑,지출,6441,220190
2022,4,18,쇼핑,지출,4645,215545
2023,4,9,쇼핑,지출,5491,210054
2020,7,3,체육대회,지출,2093,207961
2022,10,6,식사,수입,6594,214555
2022,10,15,체육대회,수입,9230,223785
2023,9,26,체육대회,지출,7474,216311
2022,12,4,식사,수입,8194,224505
2022,6,23,MT,지출,8942,215563
2022,9,1,체육대회,지출,2966,212597
2022,11,21,식사,지출,5366,207231
2023,10,5,쇼핑,수입,3158,210389
2020,4,23,MT,지출,7066,203323
2023,6,20,식사,지출,1707,201616
2022,8,3,식사,수입,6066,207682
2023,9,2,여행,수입,4216,211898
2023,12,20,MT,지출,3416,208482
2020,11,6,식사,지출,5431,203051
2023,6,10,여행,수입,6341,209392
2023,7,3,쇼핑,지출,2751,206641
2022,10,17,MT,수입,5083,211724
2022,3,6,MT,수입,2863,214587
2023,4,3,쇼핑,수입,9463,224050
2023,8,3,여행,수입,5599,229649
2020,9,29,식사,수입,1911,231560
2022,5,27,체육대회,수입,6696,238256
2023,11,15,쇼핑,지출,1637,236619
2023,2,6,쇼핑,지출,9388,227231
2021,5,6,체육대회,수입,9233,236464
2020,5,8,체육대회,수입,4895,241359
2021,9,27,MT,수입,5857,247216
2023,3,20,여행,수입,7689,254905
2021,10,7,여행,수입,2849,257754
2023,4,2,쇼핑,지출,3130,254624
2023,3,16,쇼핑,지출,1487,253137
2022,10,16,체육대회,수입,7756,260893
2022,8,11,식사,지출,3112,257781
2022,1,9,여행,지출,3131,254650
2020,1,11,MT,수입,5031,259681
2022,6,22,식사,지출,9336,250345
2021,2,18,체육대회,지출,4550,245795
2022,1,6,식사,지출,6193,239602
2021,1,29,식사,수입,9413,249015
2021,12,6,식사,수입,2891,251906
2022,3,5,MT,지출,6990,244916
2022,7,27,체육대회,지출,8372,236544
2021,11,30,체육대회,수입,8636,245180
2023,3,29,체육대회,지출,2908,242272
2022,7,3,여행,지출,4324,237948
2023,9,12,쇼핑,수입,7742,245690
2022,3,17,체육대회,지출,3389,242301
2020,4,1,여행,수입,2693,244994
2020,6,1,여행,지출,3614,241380
2021,2,26,체육대회,지출,7264,234116
2020,4,9,쇼핑,지출,8113,226003
2023,7,4,쇼핑,지출,7052,218951
2023,9,8,체육대회,수입,9753,228704
2021,4,12,식사,지출,8458,220246
2020,7,12,MT,지출,4406,215840
2023,11,11,MT,지출,9694,206146
2023,7,24,쇼핑,지출,8895,197251
2022,8,20,여행,지출,8461,188790
2023,11,14,쇼핑,지출,4606,184184
2020,12,15,식사,수입,9553,193737
2023,4,20,식사,수입,6113,199850
2023,11,23,쇼핑,지출,3176,196674
2021,11,11,여행,수입,2057,198731
2021,7,12,식사,지출,7549,191182
2020,10,7,여행,지출,9703,181479
2022,10,21,식사,지출,7617,173862
2022,5,7,체육대회,수입,8260,182122
2020,7,17,식사,수입,8252,190374
2021,10,21,체육대회,지출,4458,185916
2021,12,1,여행,수입,5935,191851
2022,1,12,체육대회,지출,8014,183837
2022,8,31,식사,지출,7464,176373
2023,6,11,쇼핑,수입,6359,182732
2021,4,10,쇼핑,지출,9006,173726
2023,8,30,여행,수입,6290,180016
2023,5,26,여행,지출,1832,178184
2021,3,23,MT,수입,2943,181127
2020,1,19,여행,수입,3455,184582
2022,1,19,쇼핑,수입,1673,186255
2021,3,1,쇼핑,수입,3784,190039
2023,12,8,식사,지출,5109,184930
2023,9,12,여행,수입,8512,193442
2020,9,4,체육대회,수입,6239,199681
2020,4,19,여행,지출,6427,193254
2021,8,3,MT,수입,7290,200544
2022,3,1,여행,수입,7761,208305
2022,11,14,체육대회,지출,1022,207283
2022,11,18,체육대회,수입,9482,216765
2022,10,14,쇼핑,지출,3632,213133
2020,8,24,체육대회,수입,2499,215632
2023,10,24,체육대회,지출,2540,213092
2023,1,1,여행,지출,2771,210321
2023,1,22,여행,지출,9593,200728
2021,1,21,식사,수입,7719,208447
2023,9,2,MT,지출,5420,203027
2021,6,14,MT,지출,4053,198974
2020,5,7,MT,수입,3861,202835
2023,1,11,쇼핑,지출,2914,199921
2023,9,28,여행,지출,8679,191242
2021,6,14,식사,수입,8961,200203
2023,12,24,여행,수입,6557,206760
2021,4,27,체육대회,지출,2066,204694
2023,8,22,쇼핑,수입,8430,213124
2021,4,10,MT,수입,2688,215812
2023,4,26,체육대회,지출,2105,213707
2023,12,20,식사,지출,1275,212432
2020,11,15,MT,수입,1046,213478
2023,10,5,쇼핑,수입,4013,217491
2023,6,1,식사,수입,1104,218595
2021,3,9,체육대회,수입,8909,227504
2023,10,29,식사,수입,7136,234640
2020,9,2,MT,지출,9555,225085
2022,12,3,여행,지출,7950,217135
2022,10,13,체육대회,수입,6037,223172
2020,10,5,식사,수입,7849,231021
2021,7,9,쇼핑,지출,1356,229665
2023,7,29,쇼핑,수입,2613,232278
2022,3,15,여행,지출,8208,224070
2022,1,20,여행,수입,1515,225585
2022,9,7,MT,지출,5449,220136
2020,5,22,여행,수입,8422,228558
2023,1,24,체육대회,지출,3573,224985
2023,6,21,여행,수입,8309,233294
2023,9,25,체육대회,지출,4023,229271
2023,7,18,쇼핑,수입,5667,234938
2022,5,29,MT,지출,8806,226132
2022,2,1,여행,지출,1742,224390
2023,6,3,여행,수입,1641,226031
2022,8,21,MT,지출,7840,218191
2021,10,7,식사,지출,5998,212193
2023,9,14,쇼핑,지출,5229,206964
2022,12,29,쇼핑,수입,8760,215724
2021,3,6,식사,수입,5753,221477
2022,9,18,식사,지출,5043,216434
2023,12,17,식사,수입,9895,226329
2021,7,13,쇼핑,수입,9497,235826
2023,7,22,식사,수입,2287,238113
2020,1,10,MT,수입,6485,244598
2021,5,15,쇼핑,지출,4100,240498
2020,1,11,MT,지출,7080,233418
2023,2,22,식사,수입,6894,240312
2020,4,13,쇼핑,지출,6673,233639
2023,3,19,MT,수입,9352,242991
2022,1,8,여행,수입,8861,251852
2020,8,13,MT,지출,4348,247504
2023,8,9,체육대회,지출,1887,245617
2023,12,30,쇼핑,지출,9550,236067
2020,6,21,여행,지출,1451,234616
2021,7,25,쇼핑,수입,7726,242342
2023,3,6,체육대회,수입,4790,247132
2020,12,28,쇼핑,지출,9329,237803
2021,11,22,식사,지출,7278,230525
2023,8,27,식사,수입,3972,234497
2020,12,3,체육대회,수입,1050,235547
2020,10,16,체육대회,수입,5226,240773
2021,11,14,쇼핑,수입,9366,250139
2020,11,30,쇼핑,수입,4553,254692
2023,6,5,식사,지출,8207,246485
2022,12,11,식사,수입,1619,248104
2021,8,5,쇼핑,수입,2899,251003
2020,5,24,체육대회,지출,6605,244398
2022,7,22,식사,수입,7477,251875
2022,12,11,식사,지출,4170,247705
2021,5,2,여행,지출,4979,242726
2020,10,21,식사,수입,9988,252714
2021,1,1,MT,수입,3410,256124
2022,2,27,쇼핑,수입,6830,262954
2023,10,31,식사,지출,1369,261585
2023,8,15,여행,지출,3756,257829
2022,3,20,쇼핑,지출,1429,256400
2020,8,26,MT,수입,6676,263076
2020,12,18,체육대회,지출,4745,258331
2023,11,6,MT,수입,5295,263626
2020,1,8,식사,지출,9575,254051
2022,2,18,여행,수입,9707,263758
2021,9,19,식사,수입,7448,271206
2023,3,10,식사,지출,3105,268101
2021,10,20,쇼핑,수입,2344,270445
2022,2,23,여행,지출,7934,262511
2021,6,17,식사,지출,4997,257514
2020,5,12,식사,수입,9366,266880
2021,11,17,MT,지출,8802,258078
2020,6,8,체육대회,지출,1889,256189
2020,11,5,식사,지출,6883,249306
2021,11,27,여행,지출,7097,242209
2021,4,15,식사,수입,7520,249729
2022,8,1,쇼핑,수입,6516,256245
2022,12,29,식사,지출,8204,248041
2022,11,26,체육대회,수입,1982,250023
2021,4,27,MT,지출,8515,241508
2022,3,5,MT,수입,8239,249747
2022,3,19,체육대회,지출,9226,240521
2023,7,22,식사,지출,8746,231775
2021,5,15,MT,수입,3932,235707
2020,4,1,체육대회,수입,1770,237477
2020,8,5,MT,수입,7758,245235
2023,11,22,쇼핑,지출,2442,242793
2021,12,23,MT,수입,6255,249048
2020,2,11,체육대회,지출,8034,241014
2021,7,30,체육대회,수입,9211,250225
2020,8,11,체육대회,수입,7664,257889
2021,6,24,식사,수입,7003,264892
2021,4,6,여행,수입,5393,270285
2020,1,11,MT,지출,1669,268616
2022,4,2,MT,지출,9170,259446
2020,9,11,체육대회,수입,1150,260596
2020,12,6,쇼핑,지출,2476,258120
2023,7,26,MT,지출,9578,248542
2021,7,15,체육대회,수입,3927,252469
2023,3,20,쇼핑,수입,8747,261216
2023,7,24,MT,수입,9789,271005
2022,12,21,식사,지출,7290,263715
2020,11,17,쇼핑,수입,8838,272553
2020,10,1,MT,수입,9893,282446
2022,3,10,체육대회,지출,2649,279797
2020,11,28,MT,수입,7016,286813
2021,12,13,MT,수입,4037,290850
2021,6,3,MT,지출,2416,288434
2023,5,7,MT,수입,8341,296775
2023,11,1,MT,수입,6687,303462
2022,5,16,체육대회,지출,5489,297973
2022,8,7,여행,수입,7768,305741
2023,11,28,MT,지출,3267,302474
2021,12,4,체육대회,지출,5768,296706
2020,2,28,식사,수입,5183,301889
2020,9,28,쇼핑,지출,2532,299357
